"","score","text","created","tweet","sentiment"
"149",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"150",1,"like post awake card giveaway giveaways",2017-11-25,"positive",1
"151",1,"hey  cards mention word celebrate",2017-11-25,"positive",1
"152",1,"winning tweet chosen",2017-11-25,"positive",1
"153",-1,"just wrong corrected",2017-11-25,"negative",0
"154",1,"enjoying morning caramel apple spice",2017-11-25,"positive",1
"155",0,"spending time girl",2017-11-25,"neutral",0
"156",0,"girl",2017-11-25,"neutral",0
"157",0,"saturday morning",2017-11-25,"neutral",0
"158",0,"welcomehome mybear",2017-11-25,"neutral",0
"159",0,"water essential",2017-11-25,"neutral",0
"160",0,"bare necessities",2017-11-25,"neutral",0
"161",0,"taste burnt",2017-11-25,"neutral",0
"162",0,"cinnamon raisin bagel",2017-11-25,"neutral",0
"163",0,"bet none guess specific",2017-11-25,"neutral",0
"164",1,"seeing ski equipment fun looks suddenly",2017-11-25,"positive",1
"165",0,"",2017-11-25,"neutral",0
"166",0,"acquired london",2017-11-25,"neutral",0
"167",2,"warm holidays toffee almondmilk hot cocoa",2017-11-25,"positive",1
"168",0,"half bags weekend",2017-11-25,"neutral",0
"169",0,"hypocrite supporting hand",2017-11-25,"neutral",0
"170",2,"enjoy fresh morning wake",2017-11-25,"positive",1
"171",0,"hit little yearly buying",2017-11-25,"neutral",0
"172",0,"hit little yearly buying",2017-11-25,"neutral",0
"173",0,"hit little yearly buying",2017-11-25,"neutral",0
"174",0,"colours",2017-11-25,"neutral",0
"175",0,"bet none guess specific",2017-11-25,"neutral",0
"176",0,"",2017-11-25,"neutral",0
"177",1,"hey drive thru helpful offered empty earlier day",2017-11-25,"positive",1
"178",0,"understand feel spirit",2017-11-25,"neutral",0
"179",0,"water essential",2017-11-25,"neutral",0
"180",0,"understand feel spirit",2017-11-25,"neutral",0
"181",-1,"convinced baristas purposely write name incorrectly",2017-11-25,"negative",0
"182",-2,"week terrible throat infection fancied treat",2017-11-25,"negative",0
"183",0,"outdid names misspelling competition",2017-11-25,"neutral",0
"184",-1,"controversy hate cuz support immigrants lgbtqi",2017-11-25,"negative",0
"185",-1,"stop harboring pedos rapists",2017-11-25,"negative",0
"186",0,"little solitude",2017-11-25,"neutral",0
"187",1,"single attractive heterosexual women customers globally banned starbu",2017-11-25,"positive",1
"188",1,"gotta love winterfest",2017-11-25,"positive",1
"189",0,"water essential",2017-11-25,"neutral",0
"190",0,"water essential",2017-11-25,"neutral",0
"191",0,"let shot",2017-11-25,"neutral",0
"192",1,"name fav home jeje",2017-11-25,"positive",1
"193",0,"water essential",2017-11-25,"neutral",0
"194",1,"perfection ____________",2017-11-25,"positive",1
"195",0,"barista",2017-11-25,"neutral",0
"196",0,"water essential",2017-11-25,"neutral",0
"197",0,"water essential",2017-11-25,"neutral",0
"198",0,"men fitness magazine called probably named",2017-11-25,"neutral",0
"199",1,"kudos inclusive featuring ",2017-11-25,"positive",1
"200",0,"bet none guess specific",2017-11-25,"neutral",0
"201",0,"time flies coming",2017-11-25,"neutral",0
"202",0,"",2017-11-25,"neutral",0
"203",0,"beverage insulator fleece pockethuggie via",2017-11-25,"neutral",0
"204",0,"check item etsy shop",2017-11-25,"neutral",0
"205",0,"living life",2017-11-25,"neutral",0
"206",0,"beverage  insulator pockethuggie via",2017-11-25,"neutral",0
"207",0,"childs words cake pop addiction",2017-11-25,"neutral",0
"208",0,"kyle  blend corrected mean  blend hahaha",2017-11-25,"neutral",0
"209",0,"tree brownie",2017-11-25,"neutral",0
"210",-1,"saam die larnies",2017-11-25,"negative",0
"211",0,"breakfast champions william hobby airport",2017-11-25,"neutral",0
"212",0,"first stop",2017-11-25,"neutral",0
"213",0,"saturday mornings destination",2017-11-25,"neutral",0
"214",1," living unless enjoying journey",2017-11-25,"positive",1
"215",1," living unless enjoying journey",2017-11-25,"positive",1
"216",-1,"peppermint mocha comes cold day",2017-11-25,"negative",0
"217",0,"beginning feel",2017-11-25,"neutral",0
"218",0,"business plan discover meets eye",2017-11-25,"neutral",0
"219",1,"watch deadliest strongest brands",2017-11-25,"positive",1
"220",0,"tastes",2017-11-25,"neutral",0
"221",0,"bet none guess specific",2017-11-25,"neutral",0
"222",2,"rise shine book lovers ready rest shopping deal bagge",2017-11-25,"positive",1
"223",0,"hot mud fake",2017-11-25,"neutral",0
"224",0,"hit little yearly buying",2017-11-25,"neutral",0
"225",-1,"blow whistle",2017-11-25,"negative",0
"226",2,"warm holidays toffee almondmilk hot cocoa",2017-11-25,"positive",1
"227",2,"good morning happy weekend",2017-11-25,"positive",1
"228",0,"dog dreams pup",2017-11-25,"neutral",0
"229",0,"saturday morning",2017-11-25,"neutral",0
"230",0,"early ",2017-11-25,"neutral",0
"231",0,"pork",2017-11-25,"neutral",0
"232",0,"",2017-11-25,"neutral",0
"233",0,"drama",2017-11-25,"neutral",0
"234",-1,"blow whistle",2017-11-25,"negative",0
"235",1,"smile thanks",2017-11-25,"positive",1
"236",0,"lol",2017-11-25,"neutral",0
"237",-2,"seriously pathetic life quit bitching nonsense",2017-11-25,"negative",0
"238",0,"umming ahhing guy tried bit friends psl",2017-11-25,"neutral",0
"239",0,"control energy",2017-11-25,"neutral",0
"240",1,"cappuccino sounds extra delicious",2017-11-25,"positive",1
"241",0,"teachers heart",2017-11-25,"neutral",0
"242",-2,"ruined morning paid venti mocha getting tall bad",2017-11-25,"negative",0
"243",0,"must mean  corner",2017-11-25,"neutral",0
"244",-1,"warms heart shopping trip cold outside look delic",2017-11-25,"negative",0
"245",0,"chocolate puddings taiwan",2017-11-25,"neutral",0
"246",0,"sitting costa",2017-11-25,"neutral",0
"247",0,"sitting costa",2017-11-25,"neutral",0
"248",0,"",2017-11-25,"neutral",0
"249",0,"december",2017-11-25,"neutral",0
"250",-1,"week workers strike",2017-11-25,"negative",0
"251",1," ready save quick tips money",2017-11-25,"positive",1
"252",0,"looking opposite manners service yonge newmarket shop",2017-11-25,"neutral",0
"253",1,"saturday biz meet appropriate fuel",2017-11-25,"positive",1
"254",0,"masinag",2017-11-25,"neutral",0
"255",0,"acquired london",2017-11-25,"neutral",0
"256",-2,"avoid costs appalling service pathetic",2017-11-25,"negative",0
"257",0,"new york atm",2017-11-25,"neutral",0
"258",-1,"fret haters vigilant culture sentries lik",2017-11-25,"negative",0
"259",0,"huge nearly",2017-11-25,"neutral",0
"260",2,"good morning enjoy day time",2017-11-25,"positive",1
"261",0,"huge nearly",2017-11-25,"neutral",0
"262",0,"huge nearly",2017-11-25,"neutral",0
"263",0,"bet none guess specific",2017-11-25,"neutral",0
"264",1,"lattes loyalty",2017-11-25,"positive",1
"265",1,"rocks tanking hot beverage",2017-11-25,"positive",1
"266",5,"classic joy festive bliss seasonal cheer",2017-11-25,"positive",1
"267",0,"straights finally caught gays trying world time",2017-11-25,"neutral",0
"268",0,"recognize checking weight indian chai ",2017-11-25,"neutral",0
"269",0,"xmas tree brownie kabonazo",2017-11-25,"neutral",0
"270",1,"unlike famed clotted cream mirage nova cafe real delicious",2017-11-25,"positive",1
"271",-1,"egg pepper breakfast blatant mug",2017-11-25,"negative",0
"272",1,"day central lovely girl begins",2017-11-25,"positive",1
"273",0,"one day",2017-11-25,"neutral",0
"274",1,"cooper loves morning mommy",2017-11-25,"positive",1
"275",1,"spend morning shopping feeling festive",2017-11-25,"positive",1
"276",0,"",2017-11-25,"neutral",0
"277",1,"love jana_hofmannova",2017-11-25,"positive",1
"278",0,"treats babies",2017-11-25,"neutral",0
"279",0,"green saturday istanbul province sabanci",2017-11-25,"neutral",0
"280",0,"rome finally bye bye money",2017-11-25,"neutral",0
"281",0,"rome finally bye bye money",2017-11-25,"neutral",0
"282",1,"ways win heart buy",2017-11-25,"positive",1
"283",1,"everydayyyy loll love",2017-11-25,"positive",1
"284",0,"necklace bracelet set",2017-11-25,"neutral",0
"285",0,"bet none guess specific",2017-11-25,"neutral",0
"286",2,"good morning hands free mug carriers shoulder strap",2017-11-25,"positive",1
"287",2,"awesome boss award goes mack",2017-11-25,"positive",1
"288",1,"starbuck   mug red white gold via",2017-11-25,"positive",1
"289",0,"bet none guess specific",2017-11-25,"neutral",0
"290",0,"give",2017-11-25,"neutral",0
"291",1,"love",2017-11-25,"positive",1
"292",0,"hit little yearly buying",2017-11-25,"neutral",0
"293",0,"road trippin",2017-11-25,"neutral",0
"294",0,"know quick guide looking",2017-11-25,"neutral",0
"295",0,"bet none guess specific",2017-11-25,"neutral",0
"296",-1,"finally stranger spelt",2017-11-25,"negative",0
"297",0,"know quick guide looking",2017-11-25,"neutral",0
"298",-1,"wait test",2017-11-25,"negative",0
"299",0,"bet none guess specific",2017-11-25,"neutral",0
"300",0,"understand feel spirit",2017-11-25,"neutral",0
"301",-1,"crap service staff",2017-11-25,"negative",0
"302",0,"can fly ham cheese",2017-11-25,"neutral",0
"303",0,"using trick book boost stock price",2017-11-25,"neutral",0
"304",0,"different perspective",2017-11-25,"neutral",0
"305",0,"complete guide caffeine via",2017-11-25,"neutral",0
"306",0,"lyfe",2017-11-25,"neutral",0
"307",0,"bet none guess specific",2017-11-25,"neutral",0
"308",0,"slice bacon tried",2017-11-25,"neutral",0
"309",0,"slice bacon tried",2017-11-25,"neutral",0
"310",0,"understand feel spirit",2017-11-25,"neutral",0
"311",-1,"favourite fall",2017-11-25,"negative",0
"312",0,"met",2017-11-25,"neutral",0
"313",1," ready save quick tips money",2017-11-25,"positive",1
"314",0,"",2017-11-25,"neutral",0
"315",0,"business plan discover meets eye",2017-11-25,"neutral",0
"316",0,"bucks clock",2017-11-25,"neutral",0
"317",0,"",2017-11-25,"neutral",0
"318",-1,"cold day",2017-11-25,"negative",0
"319",1,"every company customer service recovery framework",2017-11-25,"positive",1
"320",-1,"blow whistle",2017-11-25,"negative",0
"321",0,"check custom ",2017-11-25,"neutral",0
"322",-1," accusing using promote",2017-11-25,"negative",0
"323",0,"check custom ",2017-11-25,"neutral",0
"324",-1," accusing using promote",2017-11-25,"negative",0
"325",-1," accusing using promote",2017-11-25,"negative",0
"326",-1," accusing using promote",2017-11-25,"negative",0
"327",0,"bet none guess specific",2017-11-25,"neutral",0
"328",0,"week music shop artist track girl perk",2017-11-25,"neutral",0
"329",-1," michealwood services northbound appalling morning",2017-11-25,"negative",0
"330",0,"weekend irish bout",2017-11-25,"neutral",0
"331",0,"sold",2017-11-25,"neutral",0
"332",0,"look style",2017-11-25,"neutral",0
"333",0,"little pre mocha",2017-11-25,"neutral",0
"334",0,"finally try thailand",2017-11-25,"neutral",0
"335",0,"bet none guess specific",2017-11-25,"neutral",0
"336",-1,"today hide rain spot unscrupulous corporate chain",2017-11-25,"negative",0
"337",0,"breakfast",2017-11-25,"neutral",0
"338",0,"",2017-11-25,"neutral",0
"339",0," london aquatics",2017-11-25,"neutral",0
"340",0,"london aquatics",2017-11-25,"neutral",0
"341",0,"launches lunchtime meal deal lunch bundle offer",2017-11-25,"neutral",0
"342",-2,"heading worried getting fix worry stores set",2017-11-25,"negative",0
"343",0,"launches lunchtime meal deal lunch bundle offer",2017-11-25,"neutral",0
"344",0,"bet none guess specific",2017-11-25,"neutral",0
"345",0,"social climbing mode",2017-11-25,"neutral",0
"346",-1,"pay soya milk optional extra disgusting option",2017-11-25,"negative",0
"347",1," ready save quick tips money",2017-11-25,"positive",1
"348",-1,"amsterdam airport queue crowd telling minute wait",2017-11-25,"negative",0
"349",1,"weekend await thrill holidays",2017-11-25,"positive",1
"350",0,"jelutong penang",2017-11-25,"neutral",0
"351",0,"believe send selfies meet days ago pro",2017-11-25,"neutral",0
"352",3,"hot flavor toffee nut awesome friend melanie seaward drinking hot",2017-11-25,"positive",1
"353",1,"favorite menu",2017-11-25,"positive",1
"354",0,"bet none guess specific",2017-11-25,"neutral",0
"355",0,"multi consolidation forming sbux ultimately fundamental change moves",2017-11-25,"neutral",0
"356",0,"bet none guess specific",2017-11-25,"neutral",0
"357",0,"alone time book paper",2017-11-25,"neutral",0
"358",0,"alone time book paper",2017-11-25,"neutral",0
"359",0,"inspired toffee nut  day",2017-11-25,"neutral",0
"360",0,"jazz brend",2017-11-25,"neutral",0
"361",2,"whoa cool idea former employer promoting stra",2017-11-25,"positive",1
"362",-1,"truly joke laughing harder knowing",2017-11-25,"negative",0
"363",1,"sooo cute",2017-11-25,"positive",1
"364",0,"see",2017-11-25,"neutral",0
"365",2,"perfect start perfect weekend",2017-11-25,"positive",1
"366",-1," accusing using promote",2017-11-25,"negative",0
"367",-1," accusing using promote",2017-11-25,"negative",0
"368",-1,"accusing using promote",2017-11-25,"negative",0
"369",0,"mexican style cheese turkey tortilla",2017-11-25,"neutral",0
"370",0,"survived black friday hey finding solution recycle",2017-11-25,"neutral",0
"371",0,"andrew garfield feel connection happening",2017-11-25,"neutral",0
"372",0," start posting photos names designed stop hiding",2017-11-25,"neutral",0
"373",0,"kids called probably named dad",2017-11-25,"neutral",0
"374",0,"will mugs",2017-11-25,"neutral",0
"375",0,"venti book",2017-11-25,"neutral",0
"376",1,"merry little  yuletide  tis season",2017-11-25,"positive",1
"377",0,"cares equal else human makes mugs",2017-11-25,"neutral",0
"378",0,"got stash middleeast",2017-11-25,"neutral",0
"379",0,"got stash middleeast",2017-11-25,"neutral",0
"380",1,"omg rose gold gone viral instagram",2017-11-25,"positive",1
"381",2,"candied pistachio won thanks voting helping decide",2017-11-25,"positive",1
"382",0,"survived black friday hey finding solution recycle",2017-11-25,"neutral",0
"383",0,"venti berry hibiscus extra berries please",2017-11-25,"neutral",0
"384",1,"invested stocks ago worth ago",2017-11-25,"positive",1
"385",0,"beverage insulator pockethuggie via",2017-11-25,"neutral",0
"386",0,"made",2017-11-25,"neutral",0
"387",-1,"mumbai surely sin visit cosmetic stores india",2017-11-25,"negative",0
"388",0,"beverage insulator pockethuggie via",2017-11-25,"neutral",0
"389",0,"beverage insulator pockethuggie via",2017-11-25,"neutral",0
"390",0,"don forget",2017-11-25,"neutral",0
"391",0,"visit redbubble crossover logo sticker",2017-11-24,"neutral",0
"392",0,"bet none guess specific",2017-11-24,"neutral",0
"393",2,"love rose gold",2017-11-24,"positive",1
"394",0,"acouragebeauty explaining",2017-11-24,"neutral",0
"395",0,"sitting listening favourite albums song comes started sing",2017-11-24,"neutral",0
"396",1," whining lesbians   happy waldo found love",2017-11-24,"positive",1
"397",1,"bianca brought traditional brazilian honey cakes sweet",2017-11-24,"positive",1
"398",0,"weekend office",2017-11-24,"neutral",0
"399",0,"weekend office",2017-11-24,"neutral",0
"400",0,"iced add lol",2017-11-24,"neutral",0
"401",1," ready save quick tips money",2017-11-24,"positive",1
"402",0,"caffe",2017-11-24,"neutral",0
"403",2,"youth bus team picked donations grateful support",2017-11-24,"positive",1
"404",0,"bet none guess specific",2017-11-24,"neutral",0
"405",0,"thx giving money worth ice splash overpriced tea",2017-11-24,"neutral",0
"406",0,"finally quenticental misspelled name",2017-11-24,"neutral",0
"407",0,"look metrotown store canada looks untidy",2017-11-24,"neutral",0
"408",0,"explaining",2017-11-24,"neutral",0
"409",0,"everything",2017-11-24,"neutral",0
"410",0,"hit little yearly buying",2017-11-24,"neutral",0
"411",0,"hit little yearly buying",2017-11-24,"neutral",0
"412",0,"hit little yearly buying",2017-11-24,"neutral",0
"413",2,"created copycat recipe favorite muffins succeeded special dessert",2017-11-24,"positive",1
"414",0,"hey guys looks promoting lesbianism head girlfriends hav",2017-11-24,"neutral",0
"415",0,"yup dreams alive",2017-11-24,"neutral",0
"416",0,"store officially beach pouring",2017-11-24,"neutral",0
"417",0,"toasted bagel cream cheese look",2017-11-24,"neutral",0
"418",1,"great gonna night jail",2017-11-24,"positive",1
"419",0,"obligatory white girl post virtual lol",2017-11-24,"neutral",0
"420",1," ready save quick tips money",2017-11-24,"positive",1
"421",0,"tis season  tree farms texas texarkana texas",2017-11-24,"neutral",0
"422",1,"another season tumbler look forward tumbler free",2017-11-24,"positive",1
"423",2,"cute ornament little home pride tree",2017-11-24,"positive",1
"424",0,"",2017-11-24,"neutral",0
"425",0,"",2017-11-24,"neutral",0
"426",0,"",2017-11-24,"neutral",0
"427",0,"bet none guess specific",2017-11-24,"neutral",0
"428",1,"good time",2017-11-24,"positive",1
"429",0,"let weekend begin",2017-11-24,"neutral",0
"430",0,"",2017-11-24,"neutral",0
"431",0,"yup dreams alive",2017-11-24,"neutral",0
"432",1,"invested stocks ago worth ago",2017-11-24,"positive",1
"433",-1,"lot caffe verona dark cocoa keurig kcup brewers pods",2017-11-24,"negative",0
"434",0,"kitty mom",2017-11-24,"neutral",0
"435",0,"mugs sale",2017-11-24,"neutral",0
"436",0,"social climbing mode",2017-11-24,"neutral",0
"437",0,"mugs sale",2017-11-24,"neutral",0
"438",0,"just dreams true",2017-11-24,"neutral",0
"439",0,"monte",2017-11-24,"neutral",0
"440",0,"plastic remake iconic bean chair using",2017-11-24,"neutral",0
"441",0,"hey mine",2017-11-24,"neutral",0
"442",0,"black squared handle cream color ebay",2017-11-24,"neutral",0
"443",-1,"feel sorry employees stores lines insane ring ups yea welcome",2017-11-24,"negative",0
"444",1,"uplift day aff prizes",2017-11-24,"positive",1
"445",0,"writing forgetting",2017-11-24,"neutral",0
"446",0,"realised mind blown listening sleewalking",2017-11-24,"neutral",0
"447",0,"reconsider elsewhere",2017-11-24,"neutral",0
"448",2,"uplift day aff prize",2017-11-24,"positive",1
"449",0,"doodled friend",2017-11-24,"neutral",0
"450",-1,"american vigilante justice conspiracy start reading",2017-11-24,"negative",0
"451",0,"special edition card",2017-11-24,"neutral",0
"452",0,"lyfe",2017-11-24,"neutral",0
"453",0,"candy pistachio frappuccino soooo gooooooood",2017-11-24,"neutral",0
"454",-1,"traffic ain joke passed line door",2017-11-24,"negative",0
"455",-1,"damn guy name",2017-11-24,"negative",0
"456",1,"new pics meryl york love tbh",2017-11-24,"positive",1
"457",0,"bet none guess specific",2017-11-24,"neutral",0
"458",0,"salted caramel",2017-11-24,"neutral",0
"459",1,"warm cold night perfect",2017-11-24,"positive",1
"460",0,"check custom ",2017-11-24,"neutral",0
"461",-1,"can please explain hands insulting tell gender arms",2017-11-24,"negative",0
"462",0,"bet none guess specific",2017-11-24,"neutral",0
"463",1,"love",2017-11-24,"positive",1
"464",0,"obviously",2017-11-24,"neutral",0
"465",0,"follow",2017-11-24,"neutral",0
